layer,layer_name,gamma,spearman_rho,pval,strict_mono,kendall_tau
0,conv_in,1.2738113231864785e-08,0.052901960572612726,0.00018225743590887092,0.289,0.094
0,conv_in,1.2975171686575868e-08,0.05291748998638736,0.00018146092424888138,0.286,0.0947
0,conv_in,1.3216641839466038e-08,0.0529191573144964,0.00018137560089451067,0.283,0.0959
0,conv_in,1.346260579298911e-08,0.052922289658474043,0.0001812154092060788,0.285,0.0942
0,conv_in,1.3713147177539456e-08,0.052937818449063256,0.00018042321080631677,0.286,0.0951
0,conv_in,1.3968351179887397e-08,0.052937083207815976,0.00018046064547408915,0.286,0.0931
0,conv_in,1.422830457214352e-08,0.052924686221136726,0.00018109293602738374,0.287,0.0949
0,conv_in,1.4493095741262151e-08,0.0528846615923789,0.00018314857807443622,0.285,0.0935
0,conv_in,1.4762814719093911e-08,0.052923264328653165,0.00018116559058065283,0.286,0.0935
0,conv_in,1.5037553212997385e-08,0.052900924200205354,0.0001823107087802446,0.286,0.0941
0,conv_in,1.5317404637020797e-08,0.05291091830162905,0.0001817975892148631,0.286,0.0945
0,conv_in,1.560246414366368e-08,0.05293041507062459,0.00018080048591244844,0.287,0.0943
0,conv_in,1.5892828656229763e-08,0.05292066488714266,0.00018129848528180184,0.285,0.0941
0,conv_in,1.618859690178199e-08,0.052941337976102155,0.00018024411583302146,0.284,0.0939
0,conv_in,1.648986944471065e-08,0.05291194441223576,0.00018174498330232014,0.286,0.0923
0,conv_in,1.679674872092653e-08,0.05293996503380425,0.00018031395961240444,0.285,0.0964
0,conv_in,1.7109339072690134e-08,0.05293824869911233,0.00018040130809266548,0.286,0.0943
0,conv_in,1.7427746784089175e-08,0.05291566426799573,0.00018155439629153995,0.29,0.0943
0,conv_in,1.775208011717636e-08,0.052917770047761596,0.0001814465898354394,0.288,0.0943
0,conv_in,1.8082449348779518e-08,0.052930556075866095,0.00018079329338376834,0.287,0.0942
0,conv_in,1.841896680799711e-08,0.052916984963563105,0.00018148677558024178,0.287,0.0958
0,conv_in,1.8761746914391196e-08,0.05293310218439931,0.00018066346533522995,0.288,0.0939
0,conv_in,1.911090621689136e-08,0.052943732876212464,0.00018012234428066887,0.288,0.0952
