backbone,layer,k,spearman,kendall,spearman_level,mono_strict_rate,mono_partial_rate,mono_strict_n,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
DC-AE,8,1,0.6233831215963381,0.44943128502067187,0.47443063621155374,0.7471604938271605,0.8533333333333334,1513,2025,0.8569080634242388,1.1952957823254613,1.3938544148470202,1.5790537382901018,1.7320095456780984
DC-AE,8,5,0.5390454115021405,0.3674415198542337,0.41362828708787125,0.5061728395061729,0.7985185185185185,1025,2025,0.9514321242565754,1.047622927658806,1.1039679283228223,1.16071646337189,1.204074382210553
DC-AE,8,10,0.4984277419194082,0.33451833354752636,0.3859187911155701,0.4795061728395062,0.7377777777777778,971,2025,0.9795839058629319,1.039308768307737,1.0743671113431552,1.1103282609327692,1.1364694204842867
DC-AE,8,25,0.4687643596314942,0.31206386949469533,0.36973599746824176,0.4390123456790124,0.6997530864197531,889,2025,0.994623689851229,1.0250260754790024,1.0427838089772694,1.0618900136066993,1.0761308592669665
DC-AE,8,81,0.5378781517805749,0.37254209037975317,0.4318087535494265,0.6745679012345679,0.8128395061728395,1366,2025,0.985799425011521,0.9968584207955636,1.0038970504522435,1.0115980995580085,1.017712086183707
DC-AE,9,1,0.6140725144966296,0.44243217269339635,0.46764723487149595,0.7318518518518519,0.8493827160493828,1482,2025,0.8591055645445865,1.193012736201938,1.3961996412672202,1.5769677300441285,1.7251420863276539
DC-AE,9,5,0.5419825779260082,0.3721223176910758,0.4154694245074145,0.5140740740740741,0.7950617283950617,1041,2025,0.9536823574538242,1.0457609102505645,1.1027025128827985,1.1575581133531236,1.1996704805148495
DC-AE,9,10,0.4987796516218696,0.3364841099486049,0.38543697228201695,0.48,0.7570370370370371,972,2025,0.9800476282540012,1.0371130766327972,1.0719353785910182,1.1065074765440697,1.1314553511367247
DC-AE,9,25,0.469125234885682,0.3134181883143228,0.36845410604994605,0.4345679012345679,0.7037037037037037,880,2025,0.9944337638493596,1.0230539031053516,1.0406983706479511,1.0586936843495451,1.0717700994953845
DC-AE,9,81,0.5295029779710769,0.3660022200279945,0.423530351668533,0.6720987654320988,0.8054320987654321,1361,2025,0.9866315841726054,0.996989952056736,1.0039198709777755,1.011133553788873,1.0166454556825002
DC-AE,10,1,0.6534217136958664,0.47658789096935494,0.5054250768987217,0.7481481481481481,0.865679012345679,1515,2025,0.9351707745272989,1.274690365061767,1.4738811806706962,1.6514094746662522,1.787128489319136
DC-AE,10,5,0.588017259251711,0.4123700274445161,0.45261519700690417,0.5091358024691358,0.808395061728395,1031,2025,0.9839024490958218,1.0579261499749486,1.1018965858631455,1.1420539878787077,1.1701940488742917
DC-AE,10,10,0.5661992374863515,0.39290802242918826,0.4382315360808381,0.494320987654321,0.7975308641975308,1001,2025,0.9930448126774376,1.0327891751289655,1.0564974245004546,1.0785684299499496,1.0932534647327394
DC-AE,10,25,0.5493903158692383,0.37815801101890656,0.4309621398276577,0.4730864197530864,0.7916049382716049,958,2025,0.9978436232369873,1.015489596803297,1.026245227637831,1.0364509654654097,1.0428667478390123
DC-AE,10,81,0.6094630842243628,0.43366357487570767,0.4791954246274972,0.7382716049382716,0.8592592592592593,1495,2025,0.9963593799250093,1.0022864916337768,1.0060288032528795,1.0096934020014778,1.0120698640771855
DC-AE,11,1,0.652852264526892,0.4736603348824655,0.5049937700353686,0.7269135802469135,0.8706172839506173,1472,2025,1.0160664700673256,1.3530966472387256,1.5376156037886584,1.7019518956873771,1.8251098670826391
DC-AE,11,5,0.5804374534463448,0.4059378794323725,0.4363985824765818,0.4454320987654321,0.7876543209876543,902,2025,1.0042430162895202,1.076514908625833,1.1165051644749584,1.152433867782247,1.1770664593543478
DC-AE,11,10,0.5561020084596746,0.3837279047037003,0.4203903556251339,0.41975308641975306,0.7604938271604939,850,2025,1.0039016831745091,1.0422269239213446,1.0636408300336457,1.0829104622246273,1.0954396105721915
DC-AE,11,25,0.5543462678219679,0.38191224651134414,0.42614064198826174,0.42518518518518517,0.7669135802469136,861,2025,1.0023545263407292,1.0192650657390405,1.0289280563205943,1.0378291703764617,1.0433153896139538
DC-AE,11,81,0.6250177000187668,0.44567322282105526,0.49173436805064913,0.7382716049382716,0.8740740740740741,1495,2025,0.9981721523797344,1.003893300971958,1.0072586592102144,1.0104274777138156,1.0124006132393217
DC-AE,12,1,0.661434908776608,0.4807620466177795,0.5143024624426029,0.7624691358024691,0.8814814814814815,1544,2025,1.0132610717846662,1.3480322715214084,1.5370428097768056,1.7064417671517793,1.8360197936236062
DC-AE,12,5,0.6012296399183018,0.4247696549938204,0.4611628036971574,0.5224691358024691,0.8098765432098766,1058,2025,1.00092427096,1.0705776172106343,1.1101747671522901,1.1460185645909509,1.172592806265759
DC-AE,12,10,0.5855608665619355,0.40934329853518947,0.4510186471187611,0.4795061728395062,0.785679012345679,971,2025,1.00045410012556,1.0365961164136177,1.0572281075217886,1.0761641841561542,1.0897392178172558
DC-AE,12,25,0.5778638374083761,0.4023933044725345,0.45013675012423865,0.4928395061728395,0.7891358024691358,998,2025,1.0004770309265563,1.0159727719815246,1.024945108009765,1.033382329129767,1.0391857339109063
DC-AE,12,81,0.6316793054710224,0.4512362190586484,0.49858469579699016,0.76,0.8824691358024691,1539,2025,0.9986973328747484,1.0038376143789083,1.0068734017383787,1.0098094264625805,1.0118217928149027
DC-AE,14,1,0.6670310273979327,0.48709737072365156,0.5168305968689904,0.7525925925925926,0.8795061728395062,1524,2025,1.0523822674279348,1.3811193199676857,1.5616849839481441,1.7303754148115646,1.8523476566435915
DC-AE,14,5,0.6055805130443529,0.4278758028980354,0.46763277200164255,0.5353086419753087,0.8118518518518518,1084,2025,1.01026422017195,1.078573647113481,1.1164282652347024,1.1524231436667458,1.177215271303825
DC-AE,14,10,0.5881852430063071,0.4122501837065738,0.4568466721989104,0.497283950617284,0.7906172839506173,1007,2025,1.0058263128409894,1.0411813647367563,1.0609729492131268,1.080045491174001,1.092631325488786
DC-AE,14,25,0.5876443813556314,0.4109582405680541,0.4617826571132735,0.5244444444444445,0.7846913580246914,1062,2025,1.0027665926598794,1.0178904167999707,1.0265236918611524,1.0351013014145563,1.0404804756795316
DC-AE,14,81,0.6377534312241777,0.45798349108709013,0.501498136406552,0.7530864197530864,0.8701234567901235,1525,2025,0.9991788696835542,1.004161668434379,1.007073827095639,1.0100587994659629,1.011916857076329
DC-AE,15,1,0.6642061217549848,0.4812994387892478,0.5128203806407263,0.7204938271604938,0.8706172839506173,1459,2025,1.1445404081300508,1.4569318852802728,1.6214486024895236,1.7736601575784847,1.8843355620215194
DC-AE,15,5,0.602152889784864,0.4244557398720831,0.4524972691846863,0.47160493827160493,0.7960493827160494,955,2025,1.0300725093928935,1.0945634372609376,1.1288347430463748,1.1607682518973774,1.182894553924442
DC-AE,15,10,0.5797567615661765,0.4048237155388435,0.44258392603404495,0.44493827160493826,0.7748148148148148,901,2025,1.0163117892477418,1.0494698773651518,1.0672770359396662,1.0839708111925108,1.0951418346588082
DC-AE,15,25,0.5889327859513164,0.4120846937250397,0.45721684705089066,0.5027160493827161,0.7906172839506173,1018,2025,1.0070651273032696,1.0211265464311305,1.0288480781128246,1.0362014644512008,1.0408930009907422
DC-AE,15,81,0.6427164175528399,0.4609684808834444,0.5030610602552618,0.7476543209876543,0.8711111111111111,1514,2025,1.0008720687336488,1.005502470463192,1.008102824556984,1.010613689332773,1.0121758387962154
DC-AE,16,1,0.681344085031378,0.4984252174292364,0.5272887006583148,0.7738271604938272,0.8844444444444445,1567,2025,1.1128388642985654,1.4352431490667126,1.609203467305242,1.7707399300681463,1.8863466727441698
DC-AE,16,5,0.6307382949984847,0.44877856635933083,0.490203004537535,0.571358024691358,0.8360493827160493,1157,2025,1.0223513055134952,1.088301785225751,1.1241093433985723,1.1577377242660454,1.181167787469925
DC-AE,16,10,0.6139574483830057,0.4342775512884627,0.4772751105064747,0.5259259259259259,0.7975308641975308,1065,2025,1.0114931333999744,1.04510432379784,1.0634343797306811,1.0808495516365826,1.0926613744432288
