layer,layer_name,gamma,spearman_rho,pval
0,relu1_1,6.8050736967352206e-09,-0.21130711313906936,0.03876665741732555
0,relu1_1,6.9317172761554e-09,-0.21904297083204696,0.03201912494798617
0,relu1_1,7.06071771413778e-09,-0.2104181392188395,0.03961315706001124
0,relu1_1,7.192118872221178e-09,-0.2120239871456786,0.0380950972727775
0,relu1_1,7.32596542821523e-09,-0.20499445603505367,0.045118525015695396
0,relu1_1,7.462302891391123e-09,-0.2136674473424355,0.036592187307756485
0,relu1_1,7.601177617955322e-09,-0.2192573405050005,0.031847235181864074
0,relu1_1,7.742636826811278e-09,-0.21048883111822078,0.03954528255932953
0,relu1_1,7.88672861561414e-09,-0.20967167624186012,0.0403358258641604
0,relu1_1,8.033501977124735e-09,-0.21603527329053074,0.03451448740707993
0,relu1_1,8.183006815867407e-09,-0.21089298591748612,0.03915909757120548
0,relu1_1,8.335293965098187e-09,-0.2136265446095222,0.03662897972651406
0,relu1_1,8.490415204088756e-09,-0.21660064645645416,0.03403332831897856
0,relu1_1,8.648423275731709e-09,-0.21307683614198786,0.03712646421536581
0,relu1_1,8.80937190447399e-09,-0.2147096537477129,0.03566511127803842
0,relu1_1,8.973315814583538e-09,-0.21518592475576054,0.035248061758336065
0,relu1_1,9.140310748756223e-09,-0.21540684337574342,0.03505600786246243
0,relu1_1,9.310413487069086e-09,-0.21298042513357063,0.03721429664988473
0,relu1_1,9.483681866285909e-09,-0.21003079605779124,0.03998679199159986
0,relu1_1,9.660174799522645e-09,-0.21454904445288586,0.03580668021477041
0,relu1_1,9.839952296278247e-09,-0.2100108190929242,0.04000614146106115
0,relu1_1,1.0023075482838643e-08,-0.20752899728944055,0.04247154980388962
0,relu1_1,1.0209606623060476e-08,-0.21148556822362052,0.03859856420950997
0,relu1_1,1.0399609139541204e-08,-0.21318881151555927,0.03702467035677975
0,relu1_1,1.05931476351837e-08,-0.20985338988900049,0.04015889929779145
0,relu1_1,1.0790287915161835e-08,-0.21379539662012406,0.036477295617263594
0,relu1_1,1.099109700929496e-08,-0.21393348722294292,0.0363536370539733
0,relu1_1,1.1195643194838794e-08,-0.21095043073922665,0.03910446353793002
0,relu1_1,1.1403996019700331e-08,-0.2077500138714253,0.04224698593323588
0,relu1_1,1.1616226326085019e-08,-0.21196643867206613,0.0381486463230418
0,relu1_1,1.183240627458378e-08,-0.21327192663886493,0.03694926387808165
0,relu1_1,1.2052609368708414e-08,-0.212353065456204,0.03779009541201687
0,relu1_1,1.2276910479883604e-08,-0.21312559616419555,0.03708210898469233
0,relu1_1,1.2505385872903913e-08,-0.21373776587004498,0.03652900749752958
0,relu1_1,1.2738113231864785e-08,-0.21188432490936443,0.03822516247973741
0,relu1_1,1.2975171686575868e-08,-0.2133622741121925,0.036867441831655315
0,relu1_1,1.3216641839466038e-08,-0.2152258931266232,0.03521325024585382
0,relu1_1,1.346260579298911e-08,-0.21172400956634113,0.03837491933184359
0,relu1_1,1.3713147177539456e-08,-0.21020931417220007,0.039814227856478784
0,relu1_1,1.3968351179887397e-08,-0.21304303603664296,0.037157237025272766
0,relu1_1,1.422830457214352e-08,-0.21439278338370732,0.03594486867530493
0,relu1_1,1.4493095741262151e-08,-0.21351321124841527,0.03673108625171892
0,relu1_1,1.4762814719093911e-08,-0.21115139279925382,0.038913835520538974
0,relu1_1,1.5037553212997385e-08,-0.21210024768869348,0.03802423347868201
0,relu1_1,1.5317404637020797e-08,-0.21331045312411287,0.0369143542655613
0,relu1_1,1.560246414366368e-08,-0.21401828597908795,0.03627787508309885
0,relu1_1,1.5892828656229763e-08,-0.21113247688111664,0.03893174555124829
0,relu1_1,1.618859690178199e-08,-0.21170900799570463,0.03838895796066121
0,relu1_1,1.648986944471065e-08,-0.21280492157325873,0.03737463084228463
0,relu1_1,1.679674872092653e-08,-0.21614417316486512,0.03442136647118072
0,relu1_1,1.7109339072690134e-08,-0.2132636972220054,0.03695672430024111
0,relu1_1,1.7427746784089175e-08,-0.21449452313348605,0.03585484506648793
0,relu1_1,1.775208011717636e-08,-0.21178752752589652,0.038315526122178825
0,relu1_1,1.8082449348779518e-08,-0.21220486617828851,0.03792719802925744
0,relu1_1,1.841896680799711e-08,-0.2156264943979432,0.03486592810235655
0,relu1_1,1.8761746914391196e-08,-0.21296987144078827,0.03722392184372682
0,relu1_1,1.911090621689136e-08,-0.21308300927953772,0.037120846279134555
0,relu1_1,1.946656343342263e-08,-0.21279106876067264,0.037387310904267876
